"","Df","Sum Sq","Mean Sq"
"A          ",1,1870.5625,1870.5625
"B          ",1,39.0625,39.0625
"C          ",1,390.0625,390.0625
"D          ",1,855.5625,855.5625
"A:B        ",1,0.0625000000000036,0.0625000000000036
"A:C        ",1,1314.0625,1314.0625
"B:C        ",1,22.5624999999999,22.5624999999999
"A:D        ",1,1105.5625,1105.5625
"B:D        ",1,0.562500000000015,0.562500000000015
"C:D        ",1,5.06250000000003,5.06250000000003
"A:B:C      ",1,14.0625,14.0625
"A:B:D      ",1,68.0625,68.0625
"A:C:D      ",1,10.5624999999999,10.5624999999999
"B:C:D      ",1,27.5624999999999,27.5624999999999
"A:B:C:D    ",1,7.56249999999997,7.56249999999997
